#Plasmid	PlasmidLen
CP023033	80546
NZ_CP008707	83610
CP023030	95206
NZ_CP017647	73891
NZ_CP017645	81227
NC_010606	64366
NZ_CP017643	70875
NZ_CP016302	73188
NZ_AYOH01000010	74089
NZ_CP017655	72073
NZ_CP020593	74241
NZ_CP020594	98301
NZ_CP016297	74090
NZ_HG977523	63720
CP007580	71433
pAba7835b	80720
NZ_CP020573	74241
NZ_ALII01000020	67025
AFDA02000007	74420
NZ_CP017649	121485
NZ_CP017651	70884
NZ_CP017653	70884
NZ_AEOY01000095	63320
NZ_CP017657	101406
CP023028	110728
NZ_AFDL01000006	69518
NZ_CP020577	73264
CP014292	84967
NZ_CP020582	90972
NZ_CP020580	90973
NZ_CP015366	80546
NC_017163	74451
NZ_CP020589	72076
NZ_CP021787	86334
NZ_CP012008	87569
NZ_HG977524	64165
NZ_HG977527	63795
NZ_HG977528	64479
NZ_CP008851	74749
CP002524	70894
NZ_AFDB02000004	67012
NZ_CP014216	74241
NZ_CM003909	8781
NZ_CP008708	8731
CP000523	11302
NC_010402	9661
NZ_CP006964	8805
NC_021730	8721
NC_011585	8731
NZ_CP021786	8731
NZ_CP020576	8730
NZ_CP020575	8718
NZ_AFDN01000003	8731
CP007550	8731
CP007578	8685
NZ_CP015486	15198
CP014293	15645
NZ_CP010782	8731
NZ_AYEX01000118	8763
NZ_CM003314	8731
NZ_CM003317	8731
NZ_HG977525	8174
NZ_HG977529	8047
NZ_CP008850	8737
CP002523	8731
NZ_JHUI01000005	8819
NZ_CP020585	111999
CP023025	113420
NZ_CP016299	110967
NZ_CP010780	112157
NZ_CP016296	110968
NZ_CP016301	110967
NC_023031	113866
NZ_CP010398	114848
NZ_AYFW01000101	111007
NZ_CP015484	110965
NC_020524	110967
NZ_AFDM01000010	110967
NZ_CP018257	110964
NZ_CP007714	6076
NZ_CP012954	6078
NZ_CM003320	6078
NZ_CM003315	6078
NZ_CP018679	6078
AFDA02000006	6078
NZ_CM003319	6078
NZ_CM003318	6068
NZ_AFDL01000008	127633
NZ_CP020596	195838
NZ_AP014650	189354
NZ_CP012007	169023
AFDA02000009	130660
NZ_CP021344	216780
NZ_ALAL01000013	122469
NZ_AFDK01000004	122461
NZ_CP018144	77513
NC_021731	70167
NZ_CP018422	69069
NC_017848	77528
NC_021727	70170
CP023021	9024
pAba6972a	9931
CP023035	9935
CP023027	10062
pAba810CPa	15128
NZ_CP018862	13482
NZ_CM004454	18043
NZ_CM003316	2725
NZ_CP021783	2726
NC_010403	2726
NC_021732	20139
NC_021728	20139
NC_017172	20301
NZ_AEOY01000096	21846
NC_010605	28279
NZ_CM004453	5441
NC_010401	5644
NZ_AYFH01000057	5355
NZ_AYFZ01000080	5636
CP023024	7143
NC_020525	7416
NZ_AYFH01000048	8190
NZ_AYFZ01000083	7819
NZ_AFDB02000003	26089
NZ_ALII01000019	17984
NZ_CP010399	47274
NC_019985	48368
NZ_AFDO01000021	12636
NZ_AFDB02000005	12634
NZ_CP015122	9539
NZ_CP007713	8006
NZ_LN997847	7742
pAba7835a	7860
NZ_CM003742	4437
NZ_CM003741	5557
CP023023	5300
NZ_LT594096	8015
CP000522	13408
NZ_CP012955	9276
NZ_CP012956	47457
NZ_CP018255	17583
NZ_CP012953	4754
NZ_CP021785	4484
NZ_CP021784	2343
AFDA02000008	8422
NZ_ALII01000018	11600
CP007579	16236
NZ_AFCZ02000003	101298
NZ_AFCZ02000004	8604
AFDA02000011	7032
AFDA02000010	5676
CP023032	13478
NZ_CP008709	1967
NZ_CP010400	9327
NZ_AYOI01000002	114115
NC_021734	52268
NZ_LN865144	7742
CU468231	6106
CU468233	24922
CU468232	25014
NZ_CP013925	52517
NZ_CP015485	24022
NC_017164	8041
NZ_CP015365	13478
NZ_AYFI01000019	10030
NZ_CP012005	148955
NC_010404	94413
NZ_AEOZ01000236	26411
NZ_AFDL01000005	2277
NZ_AFDL01000007	6241
NZ_CM003313	2343
NZ_CP020583	1109
NZ_CP018678	8006
NZ_CP014217	5465
NZ_CP021348	25150
